timestamp,ticker,side,strategy,quantity,reference_price,parent_order_id,parent_date,parent_quantity,parent_start_time,parent_end_time,participation_cap,notional,source_csv
2026-04-28 14:00:00-04:00,SPY,buy,TWAP,11426.261731343284,710.8800048828125,SPY_2026-04-28_buy_0100bp_1000_1530,2026-04-28,765559.536,10:00:00,15:30:00,0.1,8122700.995369608,data/processed/SPY_5d_5m.csv
2026-04-28 14:05:00-04:00,SPY,buy,TWAP,11426.261731343284,710.989990234375,SPY_2026-04-28_buy_0100bp_1000_1530,2026-04-28,765559.536,10:00:00,15:30:00,0.1,8123957.716783174,data/processed/SPY_5d_5m.csv
2026-04-28 14:10:00-04:00,SPY,buy,TWAP,11426.261731343284,711.030029296875,SPY_2026-04-28_buy_0100bp_1000_1530,2026-04-28,765559.536,10:00:00,15:30:00,0.1,8124415.213590777,data/processed/SPY_5d_5m.csv
2026-04-28 14:15:00-04:00,SPY,buy,TWAP,11426.261731343284,711.4000244140625,SPY_2026-04-28_buy_0100bp_1000_1530,2026-04-28,765559.536,10:00:00,15:30:00,0.1,8128642.87463908,data/processed/SPY_5d_5m.csv
2026-04-28 14:20:00-04:00,SPY,buy,TWAP,11426.261731343284,711.385009765625,SPY_2026-04-28_buy_0100bp_1000_1530,2026-04-28,765559.536,10:00:00,15:30:00,0.1,8128471.313336229,data/processed/SPY_5d_5m.csv
2026-04-28 14:25:00-04:00,SPY,buy,TWAP,11426.261731343284,711.3499755859375,SPY_2026-04-28_buy_0100bp_1000_1530,2026-04-28,765559.536,10:00:00,15:30:00,0.1,8128071.003629577,data/processed/SPY_5d_5m.csv
2026-04-28 14:30:00-04:00,SPY,buy,TWAP,11426.261731343284,711.0700073242188,SPY_2026-04-28_buy_0100bp_1000_1530,2026-04-28,765559.536,10:00:00,15:30:00,0.1,8124872.012994709,data/processed/SPY_5d_5m.csv
2026-04-28 14:35:00-04:00,SPY,buy,TWAP,11426.261731343284,711.0650024414062,SPY_2026-04-28_buy_0100bp_1000_1530,2026-04-28,765559.536,10:00:00,15:30:00,0.1,8124814.825893759,data/processed/SPY_5d_5m.csv
2026-04-28 14:40:00-04:00,SPY,buy,TWAP,11426.261731343284,711.4000244140625,SPY_2026-04-28_buy_0100bp_1000_1530,2026-04-28,765559.536,10:00:00,15:30:00,0.1,8128642.87463908,data/processed/SPY_5d_5m.csv
2026-04-28 14:45:00-04:00,SPY,buy,TWAP,11426.261731343284,711.3800048828125,SPY_2026-04-28_buy_0100bp_1000_1530,2026-04-28,765559.536,10:00:00,15:30:00,0.1,8128414.126235279,data/processed/SPY_5d_5m.csv
2026-04-28 14:50:00-04:00,SPY,buy,TWAP,11426.261731343284,711.5700073242188,SPY_2026-04-28_buy_0100bp_1000_1530,2026-04-28,765559.536,10:00:00,15:30:00,0.1,8130585.143860381,data/processed/SPY_5d_5m.csv
2026-04-28 14:55:00-04:00,SPY,buy,TWAP,11426.261731343284,711.52001953125,SPY_2026-04-28_buy_0100bp_1000_1530,2026-04-28,765559.536,10:00:00,15:30:00,0.1,8130013.970254548,data/processed/SPY_5d_5m.csv
2026-04-28 15:00:00-04:00,SPY,buy,TWAP,11426.261731343284,711.6199951171875,SPY_2026-04-28_buy_0100bp_1000_1530,2026-04-28,765559.536,10:00:00,15:30:00,0.1,8131156.317466214,data/processed/SPY_5d_5m.csv
2026-04-28 15:05:00-04:00,SPY,buy,TWAP,11426.261731343284,711.9251708984375,SPY_2026-04-28_buy_0100bp_1000_1530,2026-04-28,765559.536,10:00:00,15:30:00,0.1,8134643.335816843,data/processed/SPY_5d_5m.csv
2026-04-28 15:10:00-04:00,SPY,buy,TWAP,11426.261731343284,711.9199829101562,SPY_2026-04-28_buy_0100bp_1000_1530,2026-04-28,765559.536,10:00:00,15:30:00,0.1,8134584.056504883,data/processed/SPY_5d_5m.csv
2026-04-28 15:15:00-04:00,SPY,buy,TWAP,11426.261731343284,711.6400146484375,SPY_2026-04-28_buy_0100bp_1000_1530,2026-04-28,765559.536,10:00:00,15:30:00,0.1,8131385.065870015,data/processed/SPY_5d_5m.csv
2026-04-28 15:20:00-04:00,SPY,buy,TWAP,11426.261731343284,711.6500244140625,SPY_2026-04-28_buy_0100bp_1000_1530,2026-04-28,765559.536,10:00:00,15:30:00,0.1,8131499.440071916,data/processed/SPY_5d_5m.csv
2026-04-28 15:25:00-04:00,SPY,buy,TWAP,11426.261731343284,711.5900268554688,SPY_2026-04-28_buy_0100bp_1000_1530,2026-04-28,765559.536,10:00:00,15:30:00,0.1,8130813.892264182,data/processed/SPY_5d_5m.csv
2026-04-28 15:30:00-04:00,SPY,buy,TWAP,11426.261731344448,711.239990234375,SPY_2026-04-28_buy_0100bp_1000_1530,2026-04-28,765559.536,10:00:00,15:30:00,0.1,8126814.282216838,data/processed/SPY_5d_5m.csv
2026-04-28 10:00:00-04:00,SPY,buy,VWAP,6323.025996554809,711.4451293945312,SPY_2026-04-28_buy_0100bp_1000_1530,2026-04-28,765559.536,10:00:00,15:30:00,0.1,4498486.048283922,data/processed/SPY_5d_5m.csv
2026-04-28 10:05:00-04:00,SPY,buy,VWAP,20916.09344042123,712.1300048828125,SPY_2026-04-28_buy_0100bp_1000_1530,2026-04-28,765559.536,10:00:00,15:30:00,0.1,14894977.723856535,data/processed/SPY_5d_5m.csv
