timestamp,strategy,active_tickers,child_orders,total_quantity,total_notional
2026-04-28 14:40:00-04:00,TWAP,1,2,22852.523462686568,16257285.74927816
2026-04-28 14:40:00-04:00,VWAP,1,2,30281.065335619864,21541950.619043794
2026-04-28 14:45:00-04:00,Adaptive,1,2,15263.890825336011,10858426.72985825
2026-04-28 14:45:00-04:00,TWAP,1,2,22852.523462686568,16256828.252470559
2026-04-28 14:45:00-04:00,VWAP,1,2,24188.598229942494,17207285.12692488
2026-04-28 14:50:00-04:00,Adaptive,1,2,31070.497768906193,22108834.324987702
2026-04-28 14:50:00-04:00,TWAP,1,2,22852.523462686568,16261170.287720762
2026-04-28 14:50:00-04:00,VWAP,1,2,16911.868195552204,12033978.175775304
2026-04-28 14:55:00-04:00,Adaptive,1,2,14214.752729274584,10114081.139565341
2026-04-28 14:55:00-04:00,TWAP,1,2,22852.523462686568,16260027.940509096
2026-04-28 14:55:00-04:00,VWAP,1,2,19673.950516276163,13998409.655597663
2026-04-28 15:00:00-04:00,Adaptive,1,2,29079.32272617315,20693427.49641046
2026-04-28 15:00:00-04:00,TWAP,1,2,22852.523462686568,16262312.634932429
2026-04-28 15:00:00-04:00,VWAP,1,2,28750.21779891041,20459229.849678703
2026-04-28 15:05:00-04:00,Adaptive,1,2,25783.66615054019,18356040.930611584
2026-04-28 15:05:00-04:00,TWAP,1,2,22852.523462686568,16269286.671633687
2026-04-28 15:05:00-04:00,VWAP,1,2,40269.41696279313,28668811.553216938
2026-04-28 15:10:00-04:00,Adaptive,1,2,22277.087554066726,15859503.790779239
2026-04-28 15:10:00-04:00,TWAP,1,2,22852.523462686568,16269168.113009766
2026-04-28 15:10:00-04:00,VWAP,1,2,30797.127746862265,21925090.659228083
2026-04-28 15:15:00-04:00,Adaptive,1,2,18489.982669875386,13158211.538039476
2026-04-28 15:15:00-04:00,TWAP,1,2,22852.523462686568,16262770.13174003
2026-04-28 15:15:00-04:00,VWAP,1,2,31542.49049754052,22446898.399717934
2026-04-28 15:20:00-04:00,Adaptive,1,2,14298.9199313703,10175826.718254399
2026-04-28 15:20:00-04:00,TWAP,1,2,22852.523462686568,16262998.880143832
2026-04-28 15:20:00-04:00,VWAP,1,2,29054.610307121315,20676714.134403955
2026-04-28 15:25:00-04:00,Adaptive,1,2,4718.643577352199,3357739.7099294364
2026-04-28 15:25:00-04:00,TWAP,1,2,22852.523462686568,16261627.784528363
2026-04-28 15:25:00-04:00,VWAP,1,2,31899.344020672303,22699255.06834204
2026-04-28 15:30:00-04:00,Adaptive,1,2,6516.22208301018,4634597.730685179
2026-04-28 15:30:00-04:00,TWAP,1,2,22852.523462688896,16253628.564433675
2026-04-28 15:30:00-04:00,VWAP,1,2,30612.20586739939,21772625.002181817
